title,client,agency,year,team_members,skills,featured,included,sort_order,thumbnail_path,gallery_path,video_link,description
TealDee - Zine Rocks,TealDee,Ceremony,2024,[Team members],Graphic Design; Print Design; Illustration,N,Y,11,Assets/thumbs/P0032_TealDee_Zine_Rocks_NoTag_01.png,,Assets/thumbs/P0032_TealDee_Zine_Rocks_NoTag_01.png,Case study for TealDee - Zine Rocks project. Add details about creative process and impact here.
3D Scanning,Cameron Studio,Ceremony,2024,[Team members],Motion Design; Product Visualization; Animation,N,Y,12,Projects/WebPrepped/CeremonyStudio/P0056_CS_Bracelet_Scan_01/ProjectThumb,Projects/WebPrepped/CeremonyStudio/P0056_CS_Bracelet_Scan_01/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for CS - Bracelet project. Add details about creative process and impact here.
CRMNY x TLD,TealDee,Ceremony,2024,[Team members],Motion Design; VFX; Collaboration,N,Y,13,Projects/WebPrepped/CeremonyStudio/P0018_CRMNYxTLD_01/ProjectThumb,Projects/WebPrepped/CeremonyStudio/P0018_CRMNYxTLD_01/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for CRMNY x TLD project. Add details about creative process and impact here.
GET VR Training Update,Bradken,Creative Pipeline,2024,[Team members],VR Development; 3D Modeling; Training Content,N,Y,14,Assets/thumbs/vlcsnap-2025-05-08-14h54m25s438_Hero.png,,Assets/thumbs/vlcsnap-2025-05-08-14h54m25s438_Hero.png,Case study for Bradken - GET VR Training Update project. Add details about creative process and impact here.
Promo Animation,MGA Thermal,Creative Pipeline,2024,[Team members],3D Animation; Motion Design; Product Visualization,N,Y,15,Projects/WebPrepped/CreativePipeline/P1231_MGAThermal_PromoAnim/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1231_MGAThermal_PromoAnim/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for MGA Thermal - Promo Animation project. Add details about creative process and impact here.
Digital Solutions Animation,Bradken,Creative Pipeline,2024,[Team members],3D Animation; Motion Design; VFX,N,Y,16,Assets/thumbs/Bradken_DigiSols_3D_Intro_CreativePipeline.png,,Assets/videos/P1251_Bradken_DigitalSolutions_1080p_15mbps_ENG_1.0.0f.mp4,Case study for Bradken - Digital Solutions Animation project. Add details about creative process and impact here.
Liddell Power Station VR,AGL,Creative Pipeline,2024,[Team members],VR Development; Interactive Design; 360 Content,N,Y,17,Assets/thumbs/LiddellPower_HistoricRecord_360_01_Menu_CreativePipeline.png,,Assets/thumbs/LiddellPower_HistoricRecord_360_01_Menu_CreativePipeline.png,Case study for AGL - Liddell Power 360 VR project. Add details about creative process and impact here.
Electrical Metering Training,IAC,Creative Pipeline,2024,[Team members],VR Training; 3D Modeling; Interactive Design,N,Y,18,Projects/WebPrepped/CreativePipeline/P1307_IAC_MeteringVRTraining/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1307_IAC_MeteringVRTraining/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for IAC - Metering VR Training project. Add details about creative process and impact here.
Pumpable Crib Bag Animation,Sandvik,Creative Pipeline,2024,[Team members],3D Animation; Product Visualization; Motion Design,N,Y,19,Projects/WebPrepped/CreativePipeline/P1260_Sandvik_PumpableCribBag/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1260_Sandvik_PumpableCribBag/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for Sandvik - Pumpable Crib Bag project. Add details about creative process and impact here.
Avalon Air Show VR,SiNAB,Creative Pipeline,2024,[Team members],VR Development; 3D Animation; Interactive Content,N,Y,20,Projects/WebPrepped/CreativePipeline/P1267_SiNAB_AvalonAirshowAnimVR/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1267_SiNAB_AvalonAirshowAnimVR/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for SiNAB - Avalon Airshow VR project. Add details about creative process and impact here.
Proxicam Promo Animation,FleetSafe,Creative Pipeline,2024,[Team members],3D Animation; Motion Design; Product Promo,N,Y,21,Projects/WebPrepped/CreativePipeline/P1366_FleetSafe_ProxicamPromoAnim/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1366_FleetSafe_ProxicamPromoAnim/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for FleetSafe - Proxicam Promo Animation project. Add details about creative process and impact here.
Hunter River Bridge Animation,John Holland/Transport NSW,Creative Pipeline,2024,[Team members],3D Animation; Motion Design; Infrastructure Visualization,N,Y,22,Projects/WebPrepped/CreativePipeline/P1388_HunterRiverBridgeAnim/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1388_HunterRiverBridgeAnim/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for Hunter River Bridge Animation project. Add details about creative process and impact here.
What is AIS?,Pitcrew,Creative Pipeline,2024,[Team members],3D Animation; Motion Design; Educational Content,N,Y,23,Projects/WebPrepped/CreativePipeline/P1467_Pitcrew_Vid1-A_MineWhatIsAIS/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1467_Pitcrew_Vid1-A_MineWhatIsAIS/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for Pitcrew - Mine What Is AIS project. Add details about creative process and impact here.
360 Stills VR Update,Russell Mineral Equipment,Creative Pipeline,2024,[Team members],VR Development; 360 Content; Interactive Design,N,Y,24,Projects/WebPrepped/CreativePipeline/P1505_RME_Update360StillsVR/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1505_RME_Update360StillsVR/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for RME - 360 Stills VR Update project. Add details about creative process and impact here.
Mill VR Induction,Bradken,Creative Pipeline,2024,[Team members],VR Training; 3D Modeling; Interactive Design,N,Y,25,Assets/thumbs/Bradken_P1028_MillVR_Induction_1.0.0 (1) - frame at 0m3s.jpg,,Projects/CP/CP_Working_2/Bradken_P1028_MillVRInduction/Bradken_P1028_MillVR_Induction_1.0.0.mp4,Case study for Bradken - Mill VR Induction project. Add details about creative process and impact here.
Underground Mining Training VR,Orica,Creative Pipeline,2024,[Team members],VR Training; 3D Modeling; Interactive Training,N,Y,26,Assets/thumbs/Orica_JRA2_VR_01_SiteOffice_CreativePipeline.png,,Projects/CP/CP_Working_2/Orica_P1024_JRA02_UG-VR/P1024_Orica_JRA2_VR_ModuleExamples_01.mp4,Case study for Orica - JRA02 Underground VR project. Add details about creative process and impact here.
Surface Mining Training VR,Orica,Creative Pipeline,2024,[Team members],VR Training; 3D Modeling; Motion Design,N,Y,27,Assets/thumbs/Orica_JRA1_VR_01_PumpOps_Overview_CreativePipeline.png,,Projects/CP/CP_Working_2/Orica_P132_VR-JRA1_Training_Pump-Driving/P132_Orica_JRA1_VR_ModuleExamples_01.mp4,Case study for Orica - JRA1 Pump Driving Training project. Add details about creative process and impact here.
Avatel Teaser Animation,Orica,Creative Pipeline,2024,[Team members],3D Animation; Motion Design; Product Promotion,N,Y,28,Assets/thumbs/Orica_Avatel_3D_Hero_CreativePipeline.png,,Projects/CP/CP_Working_2/P1068_Orica_MDCU_Teaser2Anim(Avatel)/P1068_Orica_MDCU_TeaserPromo%20Avatel_1080p%2015mbps.mp4,Case study for Orica - MDCU Teaser Animation (Avatel) project. Add details about creative process and impact here.
,Custom Fluid Power,Measured Marketer,2024,[Team members],3D Animation; Motion Design; Product Promotion,N,Y,29,,,,
ID TikTok 01,TBD,Ceremony,2024,[Team members],TBD,N,Y,29,Projects/WebPrepped/CeremonyStudio/P0048_ID_TikTok_01/ProjectThumb,Projects/WebPrepped/CeremonyStudio/P0048_ID_TikTok_01/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for ID TikTok 01 project. Add details about creative process and impact here.
MorrisGroup AC30,TBD,Creative Pipeline,2024,[Team members],TBD,N,Y,30,Projects/WebPrepped/CreativePipeline/P1087_MorrisGroup_AC30/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1087_MorrisGroup_AC30/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for MorrisGroup AC30 project. Add details about creative process and impact here.
Bradken DigitalSolsAnim,TBD,Creative Pipeline,2024,[Team members],TBD,N,Y,31,Projects/WebPrepped/CreativePipeline/P1251_Bradken_DigitalSolsAnim/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1251_Bradken_DigitalSolsAnim/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for Bradken DigitalSolsAnim project. Add details about creative process and impact here.
AUH Liddell360VR,TBD,Creative Pipeline,2024,[Team members],TBD,N,Y,32,Projects/WebPrepped/CreativePipeline/P1274_AUH_Liddell360VR/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1274_AUH_Liddell360VR/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for AUH Liddell360VR project. Add details about creative process and impact here.
CFP CalipersAnims,TBD,Creative Pipeline,2024,[Team members],TBD,N,Y,33,Projects/WebPrepped/CreativePipeline/P1300_CFP_CalipersAnims/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1300_CFP_CalipersAnims/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for CFP CalipersAnims project. Add details about creative process and impact here.
TNSW HexhamStraightWidening,TBD,Creative Pipeline,2024,[Team members],TBD,N,Y,34,Projects/WebPrepped/CreativePipeline/P1315_TNSW_HexhamStraightWidening/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1315_TNSW_HexhamStraightWidening/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for TNSW HexhamStraightWidening project. Add details about creative process and impact here.
FibreBoats Promo,TBD,Creative Pipeline,2024,[Team members],TBD,N,Y,35,Projects/WebPrepped/CreativePipeline/P1368_FibreBoats_Promo/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1368_FibreBoats_Promo/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for FibreBoats Promo project. Add details about creative process and impact here.
RavnAerospace Promos,TBD,Creative Pipeline,2024,[Team members],TBD,N,Y,36,Projects/WebPrepped/CreativePipeline/P1370_RavnAerospace_Promos/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1370_RavnAerospace_Promos/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for RavnAerospace Promos project. Add details about creative process and impact here.
RME MRMShowVR,TBD,Creative Pipeline,2024,[Team members],TBD,N,Y,37,Projects/WebPrepped/CreativePipeline/P1384_RME_MRMShowVR/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1384_RME_MRMShowVR/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for RME MRMShowVR project. Add details about creative process and impact here.
EGA ForkliftVRTraining,TBD,Creative Pipeline,2024,[Team members],TBD,N,Y,38,Projects/WebPrepped/CreativePipeline/P1463_EGA_ForkliftVRTraining/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1463_EGA_ForkliftVRTraining/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for EGA ForkliftVRTraining project. Add details about creative process and impact here.
Sandvik RobotWeldingAnim,TBD,Creative Pipeline,2024,[Team members],TBD,N,Y,39,Projects/WebPrepped/CreativePipeline/P1466_Sandvik_RobotWeldingAnim/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1466_Sandvik_RobotWeldingAnim/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for Sandvik RobotWeldingAnim project. Add details about creative process and impact here.
Bradken ChilcaVR,TBD,Creative Pipeline,2024,[Team members],TBD,N,Y,40,Projects/WebPrepped/CreativePipeline/P1507_Bradken_ChilcaVR/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1507_Bradken_ChilcaVR/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for Bradken ChilcaVR project. Add details about creative process and impact here.
EGA BCM-EeLTraining,TBD,Creative Pipeline,2024,[Team members],TBD,N,Y,41,Projects/WebPrepped/CreativePipeline/P1519_EGA_BCM-EeLTraining/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1519_EGA_BCM-EeLTraining/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for EGA BCM-EeLTraining project. Add details about creative process and impact here.
RTT LRDS Promo,TBD,Creative Pipeline,2024,[Team members],TBD,N,Y,42,Projects/WebPrepped/CreativePipeline/P1536_RTT_LRDS_Promo/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1536_RTT_LRDS_Promo/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for RTT LRDS Promo project. Add details about creative process and impact here.
SiNAB PheonixPodAnim,TBD,Creative Pipeline,2024,[Team members],TBD,N,Y,43,Projects/WebPrepped/CreativePipeline/P1540_SiNAB_PheonixPodAnim/ProjectThumb,Projects/WebPrepped/CreativePipeline/P1540_SiNAB_PheonixPodAnim/Gallery,Assets/videos/P1260 Sandvik Pumpcribbag 1080P 15Mbps_WebPrep.mp4,Case study for SiNAB PheonixPodAnim project. Add details about creative process and impact here.
